Film.Ratings.Link,film.title,Year,runtime,Director,Language,country,half.star,one.star,one.half.star,two.star,two.half.star,three.star,three.half.star,four.star,four.half.star,five.star,AvgRating
https://letterboxd.com/csi/film/strange-invaders/rating-histogram/,Strange Invaders,1983,92,Michael Laughlin,English,USA,4,25,53,125,187,279,122,51,6,8,2.743023256
https://letterboxd.com/csi/film/strange-magic/rating-histogram/,Strange Magic,2015,99,Gary Rydstrom,English,USA,346,471,350,545,369,505,255,283,76,212,2.380715123
https://letterboxd.com/csi/film/strange-wilderness/rating-histogram/,Strange Wilderness,2008,87,Fred Wolf,English,USA,285,466,393,693,527,606,304,200,47,77,2.27348527
https://letterboxd.com/csi/film/strangeland/rating-histogram/,Strangeland,1998,86,John Pieplow,English,USA,92,188,193,399,333,402,183,120,25,57,2.448795181
https://letterboxd.com/csi/film/stranger-in-my-pocket/rating-histogram/,Stranger in My Pocket,2018,95,Serra Yılmaz,Turkish,Turkey,95,227,197,722,757,1264,617,410,50,125,2.766129032
https://letterboxd.com/csi/film/stranger-in-our-house/rating-histogram/,Stranger in Our House,1978,100,Wes Craven,English,USA,13,59,56,291,327,508,215,88,9,28,2.734002509
https://letterboxd.com/csi/film/strangerland/rating-histogram/,Strangerland,2015,111,Kim Farrant,English,Australia,42,92,140,402,407,420,198,112,13,21,2.549539794
https://letterboxd.com/csi/film/strangers-with-candy/rating-histogram/,Strangers with Candy,2006,97,Paul Dinello,,English,44,53,61,174,211,456,340,275,49,83,3.055841924
https://letterboxd.com/csi/film/strangled/rating-histogram/,Strangled,2016,120,Árpád Sopsits,Hungarian,Hungary,5,12,21,55,100,287,248,193,28,12,3.218522373
https://letterboxd.com/csi/film/stratton/rating-histogram/,Stratton,2017,94,Simon West,English,UK,55,149,132,291,161,140,36,26,3,8,2.06043956
https://letterboxd.com/csi/film/straw-dogs-2011/rating-histogram/,Straw Dogs,2011,110,Rod Lurie,English,USA,166,361,429,1083,1087,1380,554,308,43,42,2.509719421
https://letterboxd.com/csi/film/stray-cat-rock-delinquent-girl-boss/rating-histogram/,Stray Cat Rock: Delinquent Girl Boss,1970,81,Yasuharu Hasebe,Japanese,Japan,5,7,19,87,175,577,421,290,35,40,3.24365942
https://letterboxd.com/csi/film/stray-cat-rock-wild-jumbo/rating-histogram/,Stray Cat Rock: Wild Jumbo,1970,84,Toshiya Fujita,Japanese,Japan,1,13,12,83,131,280,191,105,17,17,3.076470588
