Title,Release Year,Certificate,Runtime,Genre,IMDB_Rating,Overview,Meta_score,Director_imdb,Star1,Star2,Star3,Star4,No_of_Votes,Gross,Film.Ratings.Link,Year,runtime,Director_boxd,Language,country,half.star,one.star,one.half.star,two.star,two.half.star,three.star,three.half.star,four.star,four.half.star,five.star,AvgRating,Description,Director,Country,Year_criterion,Language_criterion
Anatomy of a Murder,1959.0,,161,Crime,8.0,"In a murder trial, the defendant says he suffered temporary insanity after the victim raped his wife. What is the truth, and will he win his case?",95.0,Otto Preminger,James Stewart,Lee Remick,Ben Gazzara,Arthur O'Connell,59847,"11,900,000",https://letterboxd.com/csi/film/anatomy-of-a-murder/rating-histogram/,1959,161.0,Otto Preminger,English,USA,14,37,38,215,370,1790,3484,9791,6467,4342,4.105601175,"A virtuoso James Stewart plays a small-town Michigan lawyer who takes on a difficult case: the defense of a young army lieutenant (Ben Gazzara) accused of murdering a local tavern owner who he believes raped his wife (Lee Remick). This gripping envelope-pusher, the most popular film by Hollywood provocateur Otto Preminger, was groundbreaking for the frankness of its discussion of sex—but more than anything else, it is a striking depiction of the power of words. Featuring an outstanding supporting cast—with a young George C. Scott as a fiery prosecutor and the legendary attorney Joseph N. Welch as the judge—and an influential score by Duke Ellington,Anatomy of a Murderis an American movie landmark, nominated for seven Oscars, including best picture.",Otto Preminger,United States,1959.0,English
Sweet Smell of Success,1957.0,Approved,96,Drama,8.0,Powerful but unethical Broadway columnist J.J. Hunsecker coerces unscrupulous press agent Sidney Falco into breaking up his sister's romance with a jazz musician.,100.0,Alexander Mackendrick,Burt Lancaster,Tony Curtis,Susan Harrison,Martin Milner,28137,,https://letterboxd.com/csi/film/sweet-smell-of-success/rating-histogram/,1957,97.0,Alexander Mackendrick,English,USA,17,39,48,199,343,1403,2464,6397,5054,5285,4.186738199,"In the swift, cynicalSweet Smell of Success,directed by Alexander Mackendrick, Burt Lancaster stars as the vicious Broadway gossip columnist J. J. Hunsecker, and Tony Curtis as Sidney Falco, the unprincipled press agent Hunsecker ropes into smearing the up-and-coming jazz musician romancing his beloved sister. Featuring deliciously unsavory dialogue, in an acid, brilliantly structured script by Clifford Odets and Ernest Lehman, and noirish neon cityscapes from Oscar-winning cinematographer James Wong Howe,Sweet Smell of Successis a cracklingly cruel dispatch from the kill-or-be-killed wilds of 1950s Manhattan.",Alexander Mackendrick,United States,1957.0,English
The Killing,1956.0,Approved,84,Crime,8.0,Crook Johnny Clay assembles a five man team to plan and execute a daring race-track robbery.,91.0,Stanley Kubrick,Sterling Hayden,Coleen Gray,Vince Edwards,Jay C. Flippen,81702,,https://letterboxd.com/csi/film/the-killing/rating-histogram/,1956,85.0,Stanley Kubrick,English,USA,33,57,87,449,884,4436,9284,19294,7738,4786,3.933025846,"Stanley Kubrick’s account of an ambitious racetrack robbery is one of Hollywood’s tautest, twistiest noirs. Aided by a radically time-shuffling narrative, razor-sharp dialogue from pulp novelist Jim Thompson, and a phenomenal cast of character actors, including Sterling Hayden, Coleen Gray, Timothy Carey, Elisha Cook Jr., and Marie Windsor,The Killingis both a jaunty thriller and a cold-blooded punch to the gut. And with its precise tracking shots and gratifying sense of irony, it’s Kubrick to the core.",Stanley Kubrick,United States,1956.0,English
The Night of the Hunter,1955.0,,92,Crime,8.0,"A religious fanatic marries a gullible widow whose young children are reluctant to tell him where their real daddy hid the $10,000 he'd stolen in a robbery.",99.0,Charles Laughton,Robert Mitchum,Shelley Winters,Lillian Gish,James Gleason,81980,"654,000",https://letterboxd.com/csi/film/the-night-of-the-hunter/rating-histogram/,1955,93.0,Charles Laughton,English,USA,65,143,160,743,1081,4065,6628,16700,12875,18812,4.223699243,"The Night of the Hunter—incredibly, the only film the great actor Charles Laughton ever directed—is truly a stand-alone masterwork. A horror movie with qualities of a Grimm fairy tale, it stars a sublimely sinister Robert Mitchum as a traveling preacher named Harry Powell (he of the tattooed knuckles), whose nefarious motives for marrying a fragile widow, played by Shelley Winters, are uncovered by her terrified young children. Graced by images of eerie beauty and a sneaky sense of humor, this ethereal, expressionistic American classic—also featuring the contributions of actress Lillian Gish and writer James Agee—is cinema’s most eccentric rendering of the battle between good and evil.The Night of the Hunterwas restored by the UCLA Film & Television Archive in cooperation with Metro-Goldwyn-Mayer Studios, Inc., with funding provided by Robert Sturm and The Film Foundation.",Charles Laughton,United States,1955.0,English
In a Lonely Place,1950.0,,94,Drama,8.0,"A potentially violent screenwriter is a murder suspect until his lovely neighbor clears him. However, she soon starts to have her doubts.",,Nicholas Ray,Humphrey Bogart,Gloria Grahame,Frank Lovejoy,Carl Benton Reid,26784,,https://letterboxd.com/csi/film/in-a-lonely-place/rating-histogram/,1950,94.0,Nicholas Ray,English,USA,16,41,60,213,396,1919,3762,9189,6194,6221,4.148834386,"When a gifted but washed-up screenwriter with a hair-trigger temper—Humphrey Bogart, in a revelatory, vulnerable performance—becomes the prime suspect in a brutal Tinseltown murder, the only person who can supply an alibi for him is a seductive neighbor (Gloria Grahame) with her own troubled past. The emotionally chargedIn a Lonely Place,freely adapted from a Dorothy B. Hughes thriller, is a brilliant, turbulent mix of suspenseful noir and devastating melodrama, fueled by powerhouse performances. An uncompromising tale of two people desperate to love yet struggling with their demons and each other, this is one of the greatest films of the 1950s, and a benchmark in the career of the classic Hollywood auteur Nicholas Ray.",Nicholas Ray,United States,1950.0,English
Kind Hearts and Coronets,1949.0,U,106,Comedy,8.0,A distant poor relative of the Duke D'Ascoyne plots to inherit the title by murdering the eight other heirs who stand ahead of him in the line of succession.,,Robert Hamer,Dennis Price,Alec Guinness,Valerie Hobson,Joan Greenwood,34485,,https://letterboxd.com/csi/film/kind-hearts-and-coronets/rating-histogram/,1949,104.0,Robert Hamer,English,UK,5,27,36,136,206,987,1802,3862,1902,1701,3.999484246,"Director Robert Hamer’s fiendishly funnyKind Hearts and Coronetsstands as one of Ealing Studios’ greatest triumphs, and one of the most wickedly black comedies ever made. Dennis Price is sublime as an embittered young commoner determined to avenge his mother’s unjust disinheritance by ascending to her family’s dukedom. Unfortunately, eight relatives, all played by the incomparable Alec Guinness, must be eliminated before he can do so.",Robert Hamer,United Kingdom,1949.0,English
Brief Encounter,1945.0,U,86,Drama,8.0,"Meeting a stranger in a railway station, a woman is tempted to cheat on her husband.",92.0,David Lean,Celia Johnson,Trevor Howard,Stanley Holloway,Joyce Carey,35601,,https://letterboxd.com/csi/film/brief-encounter/rating-histogram/,1945,86.0,David Lean,English,UK,23,60,51,299,422,1887,3281,8494,6429,8256,4.21656051,"After a chance meeting on a train platform, a married doctor (Trevor Howard) and a suburban housewife (Celia Johnson) begin a muted but passionate, and ultimately doomed, love affair. With its evocatively fog-enshrouded setting, swooning Rachmaninoff score, and pair of remarkable performances (Johnson was nominated for an Oscar), this film, directed by David Lean and based on  Noël Coward’s playStill Lifedeftly explores the thrill, pain, and tenderness of an illicit romance, and has influenced many a cinematic brief encounter since its release.",David Lean,United Kingdom,1945.0,English
"I, Daniel Blake",2016.0,UA,100,Drama,7.9,"After having suffered a heart-attack, a 59-year-old carpenter must fight the bureaucratic forces of the system in order to receive Employment and Support Allowance.",78.0,Ken Loach,Laura Obiols,Dave Johns,Hayley Squires,Sharon Percy,53818,"258,168",https://letterboxd.com/csi/film/i-daniel-blake/rating-histogram/,2016,100.0,Ken Loach,English,Belgium,72,159,203,684,1112,3815,6812,13668,6224,5144,3.914562056,"An urgent response to the political realities of con­­tem­porary Britain, this bracing drama from celebrated filmmaker Ken Loach takes a hard look at bureaucratic injustice and ineptitude through the eyes of an unassuming working-class hero. After a heart attack leaves him unable to hold a job, the widowed carpenter Daniel Blake (Dave Johns) begins a long, lonely journey through the Kafkaesque labyrinth of the local welfare state. Along the way, he strikes up a friendship with a single mother (Hayley Squires) and her two children, at the mercy of the same system after being evicted from their home. Imbued with gentle humor and quiet rage and conceived for maximum real-world impact, the Palme d’Or–winningI, Daniel Blakeis a testament to Loach’s tireless commitment to a cinema of social engagement.",Ken Loach,United Kingdom,2016.0,English
Before Midnight,2013.0,R,109,Drama,7.9,We meet Jesse and Celine nine years on in Greece. Almost two decades have passed since their first meeting on that train bound for Vienna.,94.0,Richard Linklater,Ethan Hawke,Julie Delpy,Seamus Davey-Fitzpatrick,Ariane Labed,141457,"8,114,627",https://letterboxd.com/csi/film/before-midnight/rating-histogram/,2013,109.0,Richard Linklater,English,Greece,277,643,470,2215,2581,11479,16572,40488,25323,30085,4.081505076,"The conclusion ofThe Before Trilogyfinds Celine and Jesse several years into a relationship and in the midst of a sun-dappled Greek retreat with their twin daughters and a group of friends. The couple soon find their vacation upended, however, by long-simmering problems that come to a boil. Marked by the emotional depth, piercing wit, and conversational exuberance that Linklater and his actors honed over two decades of abiding with these characters,Before Midnightgrapples with the complexities of long-term intimacy, and asks what becomes of love when it has no recourse to its past illusions.",Richard Linklater,United States,2013.0,English
Boyhood,2014.0,A,165,Drama,7.9,"The life of Mason, from early childhood to his arrival at college.",100.0,Richard Linklater,Ellar Coltrane,Patricia Arquette,Ethan Hawke,Elijah Smith,335533,"25,379,975",https://letterboxd.com/csi/film/boyhood/rating-histogram/,2014,165.0,Richard Linklater,English,USA,1726,4175,2493,11357,9856,34692,33807,65092,30476,44248,3.771328419,"There has never been another movie likeBoyhood,from director Richard Linklater. An event film of the utmost modesty, it was shot over the course of twelve years in the director’s native Texas and charts the physical and emotional changes experienced by a child named Mason (Ellar Coltrane), his divorced parents (Patricia Arquette, who won an Oscar for her performance, and Ethan Hawke), and his older sister (Lorelei Linklater). Alighting not on milestones but on the small, in-between moments that make up lives, Linklater fashions a flawlessly acted, often funny portrait that flows effortlessly from one year to the next. Allowing us to watch people age on film with documentary realism while gripping us in a fictional narrative of exquisite everydayness,Boyhoodhas a power that only the art of cinema could harness.",Richard Linklater,United States,2014.0,English
Fantastic Mr. Fox,2009.0,PG,87,Animation,7.9,An urbane fox cannot resist returning to his farm raiding ways and then must help his community survive the farmers' retaliation.,83.0,Wes Anderson,George Clooney,Meryl Streep,Bill Murray,Jason Schwartzman,199696,"21,002,919",https://letterboxd.com/csi/film/fantastic-mr-fox/rating-histogram/,2009,87.0,Wes Anderson,English,USA,561,1673,910,4578,4618,25893,38230,109786,60994,100789,4.175091658,"Fantastic Mr. Foxis the story of a clever, quick, nimble, and exceptionally well-dressed wild animal. A compulsive chicken thief turned newspaper reporter, Mr. Fox settles down with his family in a new foxhole in a beautiful tree—directly adjacent to three enormous poultry farms owned by three ferociously vicious farmers: Boggis, Bunce, and Bean. Mr. Fox simply cannot resist. Wes Anderson’s adaptation of Roald Dahl’s classic children’s novel is a meticulous work of stop-motion animation featuring vibrant performances by George Clooney, Meryl Streep, Jason Schwartzman, Willem Dafoe, Michael Gambon, and Bill Murray.",Wes Anderson,United States,2009.0,English
Brazil,1985.0,U,132,Drama,7.9,A bureaucrat in a dystopic society becomes an enemy of the state as he pursues the woman of his dreams.,84.0,Terry Gilliam,Jonathan Pryce,Kim Greist,Robert De Niro,Katherine Helmond,187567,"9,929,135",https://letterboxd.com/csi/film/brazil/rating-histogram/,1985,143.0,Terry Gilliam,English,UK,218,596,525,2092,2527,8256,11875,26721,16440,21758,4.04336432,"In the dystopian masterpieceBrazil,Jonathan Pryce plays a daydreaming everyman who finds himself caught in the soul-crushing gears of a nightmarish bureaucracy. This cautionary tale by Terry Gilliam, one of the great films of the 1980s, has come to be esteemed alongside antitotalitarian works by the likes of George Orwell, Aldous Huxley, and Kurt Vonnegut Jr. And in terms of set design, cinematography, music, and effects,Brazilis a nonstop dazzler.",Terry Gilliam,United Kingdom,1985.0,English
This Is Spinal Tap,1984.0,R,82,Comedy,7.9,"Spinal Tap, one of England's loudest bands, is chronicled by film director Marty DiBergi on what proves to be a fateful tour.",92.0,Rob Reiner,Rob Reiner,Michael McKean,Christopher Guest,Kimberly Stringer,128812,"188,751",https://letterboxd.com/csi/film/this-is-spinal-tap/rating-histogram/,1984,82.0,Rob Reiner,English,USA,110,311,318,1515,2043,8642,12382,24539,9879,13001,3.92988727,"Rob Reiner's directorial debut has developed into a cult phenomenon. The film that invented the ""rockumentary"" has now outlasted most of the bands it mocked. Following the ill-fated American comeback tour of an aging heavy-metal group, this film has joined the ranks of the greatest comedies ever made.",Rob Reiner,United States,1984.0,
All That Jazz,1979.0,A,123,Drama,7.9,"Director/choreographer Bob Fosse tells his own life story as he details the sordid career of Joe Gideon, a womanizing, drug-using dancer.",72.0,Bob Fosse,Roy Scheider,Jessica Lange,Ann Reinking,Leland Palmer,28223,"37,823,676",https://letterboxd.com/csi/film/all-that-jazz/rating-histogram/,1979,123.0,Bob Fosse,English,USA,41,122,116,428,595,2043,3064,7309,6015,8692,4.196182938,"The preternaturally gifted director and choreographer Bob Fosse turned the camera on his own life for this madly imaginative, self-excoriating musical masterpiece. Roy Scheider gives the performance of his career as Joe Gideon, whose exhausting work schedule—mounting a Broadway production by day and editing his latest movie by night—and routine of amphetamines, booze, and sex are putting his health at serious risk. Fosse burrows into Gideon’s (and his own) mind, rendering his interior world as phantasmagoric spectacle. Assembled with visionary editing that makes dance come alive on-screen as never before, and overflowing with sublime footwork by the likes of Ann Reinking, Leland Palmer, and Ben Vereen,All That Jazzpushes the musical genre to personal depths and virtuosic aesthetic heights.",Bob Fosse,United States,1979.0,English
Amarcord,1973.0,R,123,Comedy,7.9,A series of comedic and nostalgic vignettes set in a 1930s Italian coastal town.,,Federico Fellini,Magali Noël,Bruno Zanin,Pupella Maggio,Armando Brancia,39897,,https://letterboxd.com/csi/film/amarcord/rating-histogram/,1973,123.0,Federico Fellini,Italian,Italy,44,104,100,453,585,2164,3204,7456,4381,5448,4.057354108,"This carnivalesque portrait of provincial Italy during the fascist period, the most personal film by Federico Fellini, satirizes the director’s youth and turns daily life into a circus of social rituals, adolescent desires, male fantasies, and political subterfuge, all set to Nino Rota’s classic, nostalgia-tinged score. The Academy Award–winningAmarcordremains one of cinema’s enduring treasures.",Federico Fellini,Italy,1973.0,Italian
Harold and Maude,1971.0,PG,91,Comedy,7.9,"Young, rich, and obsessed with death, Harold finds himself changed forever when he meets lively septuagenarian Maude at a funeral.",62.0,Hal Ashby,Ruth Gordon,Bud Cort,Vivian Pickles,Cyril Cusack,70826,,https://letterboxd.com/csi/film/harold-and-maude/rating-histogram/,1971,91.0,Hal Ashby,English,USA,123,296,254,1166,1443,5045,7614,17317,9206,13047,4.042297923,"With the idiosyncratic American fableHarold and Maude,countercultural director Hal Ashby fashioned what would become the cult classic of its era. Working from a script by Colin Higgins, Ashby tells the story of the emotional and romantic bond between a death-obsessed young man (Bud Cort) from a wealthy family and a devil-may-care, bohemian octogenarian (Ruth Gordon). Equal parts gallows humor and romantic innocence, Harold and Maude dissolves the line between darkness and light along with the ones that separate people by class, gender, and age, and it features indelible performances and a remarkable soundtrack by Cat Stevens.",Hal Ashby,United States,1971.0,English
Night of the Living Dead,1968.0,,96,Horror,7.9,A ragtag group of Pennsylvanians barricade themselves in an old farmhouse to remain safe from a horde of flesh-eating ghouls that are ravaging the East Coast of the United States.,89.0,George A. Romero,Duane Jones,Judith O'Dea,Karl Hardman,Marilyn Eastman,116557,"89,029",https://letterboxd.com/csi/film/night-of-the-living-dead-1990/rating-histogram/,1990,88.0,Tom Savini,English,USA,42,189,233,865,1244,3787,3493,2997,585,716,3.334499329,"Shot outside Pittsburgh on a shoestring budget, by a band of filmmakers determined to make their mark,Night of the Living Dead,directed by horror master George A. Romero, is a great story of independent cinema: a midnight hit turned box-office smash that became one of the most influential films of all time. A deceptively simple tale of a group of strangers trapped in a farmhouse who find themselves fending off a horde of recently dead, flesh-eating ghouls, Romero’s claustrophobic vision of a late-1960s America literally tearing itself apart rewrote the rules of the horror genre, combined gruesome gore with acute social commentary, and quietly broke ground by casting a black actor (Duane Jones) in its lead role. Stark, haunting, and more relevant than ever,Night of the Living Deadis back.Night of the Living Deadwas restored by the Museum of Modern Art and The Film Foundation, with funding provided by the George Lucas Family Foundation and the Celeste Bartos Preservation Fund.",George A. Romero,United States,1968.0,English
Night of the Living Dead,1968.0,,96,Horror,7.9,A ragtag group of Pennsylvanians barricade themselves in an old farmhouse to remain safe from a horde of flesh-eating ghouls that are ravaging the East Coast of the United States.,89.0,George A. Romero,Duane Jones,Judith O'Dea,Karl Hardman,Marilyn Eastman,116557,"89,029",https://letterboxd.com/csi/film/night-of-the-living-dead/rating-histogram/,1968,96.0,George A. Romero,English,USA,115,338,395,1819,2474,11435,16114,33720,14179,19972,3.978286811,"Shot outside Pittsburgh on a shoestring budget, by a band of filmmakers determined to make their mark,Night of the Living Dead,directed by horror master George A. Romero, is a great story of independent cinema: a midnight hit turned box-office smash that became one of the most influential films of all time. A deceptively simple tale of a group of strangers trapped in a farmhouse who find themselves fending off a horde of recently dead, flesh-eating ghouls, Romero’s claustrophobic vision of a late-1960s America literally tearing itself apart rewrote the rules of the horror genre, combined gruesome gore with acute social commentary, and quietly broke ground by casting a black actor (Duane Jones) in its lead role. Stark, haunting, and more relevant than ever,Night of the Living Deadis back.Night of the Living Deadwas restored by the Museum of Modern Art and The Film Foundation, with funding provided by the George Lucas Family Foundation and the Celeste Bartos Preservation Fund.",George A. Romero,United States,1968.0,English
In the Heat of the Night,1967.0,U,110,Crime,7.9,A black police detective is asked to investigate a murder in a racially hostile southern town.,75.0,Norman Jewison,Sidney Poitier,Rod Steiger,Warren Oates,Lee Grant,67804,"24,379,978",https://letterboxd.com/csi/film/in-the-heat-of-the-night/rating-histogram/,1967,109.0,Norman Jewison,English,USA,5,29,46,248,521,2585,5528,10948,4100,2722,3.922415083,"Passing through the backwoods town of Sparta, Mississippi, Philadelphia detective Virgil Tibbs (Sidney Poitier) becomes embroiled in a murder case. He forms an uneasy alliance with the bigoted police chief (Rod Steiger), who faces mounting pressure from Sparta’s hostile citizens to catch the killer and run the African American interloper out of town. Director Norman Jewison splices incisive social commentary into this thrilling police procedural with the help of Haskell Wexler’s vivid cinematography, Quincy Jones’s eclectic score, and two indelible lead performances—a career-defining display of seething indignation and moral authority from Poitier and an Oscar-winning master class in Method acting from Steiger. Winner of five Academy Awards, including for best picture,In the Heat of the Nightis one of the most enduring Hollywood films of the civil rights era.",Norman Jewison,United States,1967.0,English
Charade,1963.0,U,113,Comedy,7.9,Romance and suspense ensue in Paris as a woman is pursued by several men who want a fortune her murdered husband had stolen. Whom can she trust?,83.0,Stanley Donen,Cary Grant,Audrey Hepburn,Walter Matthau,James Coburn,68689,"13,474,588",https://letterboxd.com/csi/film/charade/rating-histogram/,1963,113.0,Stanley Donen,English,USA,17,84,101,547,973,4824,8214,16153,5857,5103,3.90406706,"In this comedic thriller, a trio of crooks relentlessly pursue a young American, played by Audrey Hepburn in gorgeous Givenchy, through Paris in an attempt to recover the fortune her dead husband stole from them. The only person she can trust is Cary Grant's suave, mysterious stranger. Director Stanley Donen goes deliciously dark forCharade,a glittering emblem of sixties style and macabre wit.",Stanley Donen,United States,1963.0,English
The Manchurian Candidate,1962.0,PG-13,126,Drama,7.9,A former prisoner of war is brainwashed as an unwitting assassin for an international Communist conspiracy.,94.0,John Frankenheimer,Frank Sinatra,Laurence Harvey,Janet Leigh,Angela Lansbury,71122,,https://letterboxd.com/csi/film/the-manchurian-candidate/rating-histogram/,1962,126.0,John Frankenheimer,English,USA,22,60,61,327,541,2255,3608,7720,3722,3051,3.952169233,"The name John Frankenheimer became forever synonymous with heart-in-the-throat filmmaking when this quintessential sixties political thriller was released. Set in the early fifties, this razor-sharp adaptation of the novel by Richard Condon concerns the decorated U.S. Army sergeant Raymond Shaw (Laurence Harvey), who as a prisoner during the Korean War is brainwashed into becoming a sleeper assassin in a Communist conspiracy, and a fellow POW (Frank Sinatra) who slowly uncovers the sinister plot. In an unforgettable performance, Angela Lansbury plays Raymond’s villainous mother, the controlling wife of a witch-hunting anti-Communist senator with his eyes on the White House. The rare film that takes aim at the frenzy of the McCarthy era while also being suffused with its Cold War paranoia,The Manchurian Candidateremains potent, shocking American moviemaking.",John Frankenheimer,United States,1962.0,English
The Manchurian Candidate,1962.0,PG-13,126,Drama,7.9,A former prisoner of war is brainwashed as an unwitting assassin for an international Communist conspiracy.,94.0,John Frankenheimer,Frank Sinatra,Laurence Harvey,Janet Leigh,Angela Lansbury,71122,,https://letterboxd.com/csi/film/the-manchurian-candidate-2004/rating-histogram/,2004,129.0,Jonathan Demme,English,USA,53,235,308,1664,2604,7098,5067,3184,509,350,3.1495112,"The name John Frankenheimer became forever synonymous with heart-in-the-throat filmmaking when this quintessential sixties political thriller was released. Set in the early fifties, this razor-sharp adaptation of the novel by Richard Condon concerns the decorated U.S. Army sergeant Raymond Shaw (Laurence Harvey), who as a prisoner during the Korean War is brainwashed into becoming a sleeper assassin in a Communist conspiracy, and a fellow POW (Frank Sinatra) who slowly uncovers the sinister plot. In an unforgettable performance, Angela Lansbury plays Raymond’s villainous mother, the controlling wife of a witch-hunting anti-Communist senator with his eyes on the White House. The rare film that takes aim at the frenzy of the McCarthy era while also being suffused with its Cold War paranoia,The Manchurian Candidateremains potent, shocking American moviemaking.",John Frankenheimer,United States,1962.0,English
Spartacus,1960.0,A,197,Adventure,7.9,The slave Spartacus leads a violent revolt against the decadent Roman Republic.,87.0,Stanley Kubrick,Kirk Douglas,Laurence Olivier,Jean Simmons,Charles Laughton,124339,"30,000,000",https://letterboxd.com/csi/film/spartacus/rating-histogram/,1960,197.0,Stanley Kubrick,English,USA,53,173,175,1006,1581,7349,10186,15485,4701,3732,3.732566774,"Stanley Kubrick directed a cast of screen legends—including Kirk Douglas as the indomitable gladiator that led a Roman slave revolt—in the sweeping epic that defined a genre and ushered in a new Hollywood era. The assured acting, lush Technicolor cinematography, bold costumes, and visceral fight sequences wonSpartacusfour Oscars; the blend of politics and sexual suggestion scandalized audiences. Today Kubrick's controversial classic, the first film to openly defy Hollywood's blacklist, remains a landmark of cinematic artistry and history.",Stanley Kubrick,United States,1960.0,English
Notorious,1946.0,U,102,Drama,7.9,A woman is asked to spy on a group of Nazi friends in South America. How far will she have to go to ingratiate herself with them?,100.0,Alfred Hitchcock,Cary Grant,Ingrid Bergman,Claude Rains,Louis Calhern,92306,"10,464,000",https://letterboxd.com/csi/film/notorious/rating-histogram/,1946,103.0,Alfred Hitchcock,English,USA,27,78,92,483,770,3779,6655,13971,7202,7564,4.033947958,"With this twisted love story, Alfred Hitchcock summoned darker shades of suspense and passion by casting two of Hollywood’s most beloved stars starkly against type. Ingrid Bergman plays Alicia, an alluring woman with a checkered past recruited by Devlin (Cary Grant), a suave, mysterious intelligence agent, to spy for the U.S. Only after she has fallen for Devlin does she learn that her mission is to seduce a Nazi industrialist (Claude Rains) hiding out in South America. Coupling inventive cinematography with brilliantly subtle turns from his mesmerizing leads, Hitchcock orchestrates an anguished romance shot through with deception and moral ambiguity. A thriller of rare perfection,Notoriousrepresents a pinnacle of both its director’s legendary career and classic Hollywood cinema.",Alfred Hitchcock,United States,1946.0,English
Notorious,1946.0,U,102,Drama,7.9,A woman is asked to spy on a group of Nazi friends in South America. How far will she have to go to ingratiate herself with them?,100.0,Alfred Hitchcock,Cary Grant,Ingrid Bergman,Claude Rains,Louis Calhern,92306,"10,464,000",https://letterboxd.com/csi/film/notorious-2009/rating-histogram/,2009,122.0,"George Tillman, Jr.",English,USA,39,158,236,766,1234,2450,1461,872,113,181,2.997802929,"With this twisted love story, Alfred Hitchcock summoned darker shades of suspense and passion by casting two of Hollywood’s most beloved stars starkly against type. Ingrid Bergman plays Alicia, an alluring woman with a checkered past recruited by Devlin (Cary Grant), a suave, mysterious intelligence agent, to spy for the U.S. Only after she has fallen for Devlin does she learn that her mission is to seduce a Nazi industrialist (Claude Rains) hiding out in South America. Coupling inventive cinematography with brilliantly subtle turns from his mesmerizing leads, Hitchcock orchestrates an anguished romance shot through with deception and moral ambiguity. A thriller of rare perfection,Notoriousrepresents a pinnacle of both its director’s legendary career and classic Hollywood cinema.",Alfred Hitchcock,United States,1946.0,English
The Philadelphia Story,1940.0,,112,Comedy,7.9,"When a rich woman's ex-husband and a tabloid-type reporter turn up just before her planned remarriage, she begins to learn the truth about herself.",96.0,George Cukor,Cary Grant,Katharine Hepburn,James Stewart,Ruth Hussey,63550,,https://letterboxd.com/csi/film/the-philadelphia-story/rating-histogram/,1940,113.0,George Cukor,English,USA,39,98,115,564,785,3377,5233,10189,4975,5774,3.97574561,"With this furiously witty comedy of manners, Katharine Hepburn revitalized her career and cemented her status as the era’s most iconic leading lady—thanks in great part to her own shrewd orchestrations. While starring in the Philip Barry stage playThe Philadelphia Story,Hepburn acquired the screen rights, handpicking her friend George Cukor to direct. The intoxicating screenplay by Donald Ogden Stewart pits the formidable Philadelphia socialite Tracy Lord (Hepburn, at her most luminous) against various romantic foils, chief among them her charismatic ex-husband (Cary Grant), who disrupts her imminent marriage by paying her family estate a visit, accompanied by a tabloid reporter on assignment to cover the wedding of the year (James Stewart, in his only Academy Award–winning performance). A fast-talking screwball comedy as well as a tale of regret and reconciliation, this convergence of golden-age talent is one of the greatest American films of all time.",George Cukor,United States,1940.0,English
His Girl Friday,1940.0,Passed,92,Comedy,7.9,A newspaper editor uses every trick in the book to keep his ace reporter ex-wife from remarrying.,,Howard Hawks,Cary Grant,Rosalind Russell,Ralph Bellamy,Gene Lockhart,53667,"296,000",https://letterboxd.com/csi/film/his-girl-friday/rating-histogram/,1940,92.0,Howard Hawks,English,USA,43,113,132,675,978,4122,6080,12612,6389,7413,3.995046295,"One of the fastest, funniest, and most quotable films ever made,His Girl Fridaystars Rosalind Russell as reporter Hildy Johnson, a standout among cinema’s powerful women. Hildy is matched in force only by her conniving but charismatic editor and ex-husband, Walter Burns (played by the peerless Cary Grant), who dangles the chance for her to scoop her fellow news writers with the story of an impending execution in order to keep her from hopping the train that’s supposed to take her to Albany and a new life as a housewife. When adapting Ben Hecht and Charles MacArthur’s smash hit playThe Front Page,director Howard Hawks had the inspired idea of turning star reporter Hildy Johnson into a woman, and the result is an immortal mix of hard-boiled newsroom setting with ebullient remarriage comedy. Also presented here is a brand-new restoration of the 1931 filmThe Front Page,Lewis Milestone’s famous pre-Code adaptation of the same material.",Howard Hawks,United States,1940.0,English
Moonrise Kingdom,2012.0,A,94,Comedy,7.8,"A pair of young lovers flee their New England town, which causes a local search party to fan out to find them.",84.0,Wes Anderson,Jared Gilman,Kara Hayward,Bruce Willis,Bill Murray,318789,"45,512,466",https://letterboxd.com/csi/film/moonrise-kingdom/rating-histogram/,2012,94.0,Wes Anderson,English,USA,516,1550,1101,6481,7094,35645,48825,116651,50909,63870,3.9893444,"An island off the New England coast, summer of 1965. Two twelve-year-olds, Sam and Suzy, fall in love, make a secret pact, and run away together into the wilderness. As local authorities try to hunt them down, a violent storm is brewing offshore . . . Wes Anderson’sMoonrise Kingdomstars Jared Gilman and Kara Hayward as the young couple on the run, Bruce Willis as Island Police Captain Sharp, Edward Norton as Khaki Scout troop leader Scout Master Ward, and Bill Murray and Frances McDormand as Suzy’s attorney parents, Walt and Laura Bishop. The cast also includes Tilda Swinton, Jason Schwartzman, and Bob Balaban. The magical soundtrack features the music of Benjamin Britten.",Wes Anderson,United States,2012.0,English
